Iteration,Basic-Block,gen[B],kill[B],in[B],out[B]
1,B17,"{D26, D27, D28}","{D33, D34, D35}","{D10, D11, D12, D17, D18, D19, D7, D8, D9}","{D10, D11, D12, D17, D18, D19, D26, D27, D28, D7, D8, D9}"
1,B18,{D29},{D36},"{D10, D11, D12, D17, D18, D19, D26, D27, D28, D7, D8, D9}","{D10, D11, D12, D17, D18, D19, D26, D27, D28, D29, D7, D8, D9}"
1,B19,{D30},"{D20, D25, D37}","{D10, D11, D12, D17, D18, D19, D26, D27, D28, D29, D7, D8, D9}","{D10, D11, D12, D17, D18, D19, D26, D27, D28, D29, D30, D7, D8, D9}"
1,B20,"{D31, D32}",{},"{D10, D11, D12, D17, D18, D19, D26, D27, D28, D29, D30, D7, D8, D9}","{D10, D11, D12, D17, D18, D19, D26, D27, D28, D29, D30, D31, D32, D7, D8, D9}"
1,B21,"{D33, D34, D35, D36}","{D26, D27, D28, D29}","{D10, D11, D12, D17, D18, D19, D26, D27, D28, D29, D30, D31, D32, D7, D8, D9}","{D10, D11, D12, D17, D18, D19, D30, D31, D32, D33, D34, D35, D36, D7, D8, D9}"
1,B22,{D37},"{D20, D25, D30}","{D10, D11, D12, D17, D18, D19, D30, D31, D32, D33, D34, D35, D36, D7, D8, D9}","{D10, D11, D12, D17, D18, D19, D31, D32, D33, D34, D35, D36, D37, D7, D8, D9}"
1,EXIT,{},{},"{D10, D11, D12, D17, D18, D19, D26, D27, D28, D29, D7, D8, D9}","{D10, D11, D12, D17, D18, D19, D26, D27, D28, D29, D7, D8, D9}"
2,ENTRY,{},{},{},{}
2,B1,{D1},"{D11, D16, D6}",{},{D1}
2,B2,{D2},"{D12, D15, D5}","{D1, D3, D4, D5, D6}","{D1, D2, D3, D4, D6}"
2,B3,"{D3, D4, D5}","{D12, D15, D2}","{D1, D2, D3, D4, D5, D6}","{D1, D3, D4, D5, D6}"
2,B4,{D6},"{D1, D11, D16}","{D1, D3, D4, D5, D6}","{D3, D4, D5, D6}"
2,B5,"{D7, D8}",{},"{D1, D2, D3, D4, D6}","{D1, D2, D3, D4, D6, D7, D8}"
2,B6,"{D10, D9}",{},"{D1, D2, D3, D4, D6, D7, D8}","{D1, D10, D2, D3, D4, D6, D7, D8, D9}"
2,B7,{D11},"{D1, D16, D6}","{D1, D10, D2, D3, D4, D6, D7, D8, D9}","{D10, D11, D2, D3, D4, D7, D8, D9}"
2,B8,{D12},"{D15, D2, D5}","{D10, D11, D13, D14, D15, D16, D2, D3, D4, D7, D8, D9}","{D10, D11, D12, D13, D14, D16, D3, D4, D7, D8, D9}"
2,B9,"{D13, D14, D15}","{D12, D2, D5}","{D10, D11, D12, D13, D14, D15, D16, D3, D4, D7, D8, D9}","{D10, D11, D13, D14, D15, D16, D3, D4, D7, D8, D9}"
2,B10,{D16},"{D1, D11, D6}","{D10, D11, D13, D14, D15, D16, D3, D4, D7, D8, D9}","{D10, D13, D14, D15, D16, D3, D4, D7, D8, D9}"
2,B11,"{D17, D18}",{},"{D10, D11, D12, D13, D14, D16, D3, D4, D7, D8, D9}","{D10, D11, D12, D13, D14, D16, D17, D18, D3, D4, D7, D8, D9}"
2,B12,{D19},{},"{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D3, D4, D7, D8, D9}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D3, D4, D7, D8, D9}"
2,B13,{D20},"{D25, D30, D37}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D3, D4, D7, D8, D9}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D3, D4, D7, D8, D9}"
2,B14,"{D21, D22}",{},"{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D3, D4, D7, D8, D9}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D3, D4, D7, D8, D9}"
2,B15,"{D23, D24}",{},"{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D3, D4, D7, D8, D9}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D3, D4, D7, D8, D9}"
2,B16,{D25},"{D20, D30, D37}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D3, D4, D7, D8, D9}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D21, D22, D23, D24, D25, D3, D4, D7, D8, D9}"
2,B17,"{D26, D27, D28}","{D33, D34, D35}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D3, D4, D7, D8, D9}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D26, D27, D28, D3, D4, D7, D8, D9}"
2,B18,{D29},{D36},"{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D26, D27, D28, D29, D3, D30, D31, D32, D4, D7, D8, D9}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D26, D27, D28, D29, D3, D30, D31, D32, D4, D7, D8, D9}"
2,B19,{D30},"{D20, D25, D37}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D26, D27, D28, D29, D3, D30, D31, D32, D4, D7, D8, D9}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D21, D22, D26, D27, D28, D29, D3, D30, D31, D32, D4, D7, D8, D9}"
2,B20,"{D31, D32}",{},"{D10, D11, D12, D13, D14, D16, D17, D18, D19, D21, D22, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D4, D7, D8, D9}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D21, D22, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D4, D7, D8, D9}"
2,B21,"{D33, D34, D35, D36}","{D26, D27, D28, D29}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D21, D22, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D4, D7, D8, D9}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D21, D22, D3, D30, D31, D32, D33, D34, D35, D36, D37, D4, D7, D8, D9}"
2,B22,{D37},"{D20, D25, D30}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D21, D22, D3, D30, D31, D32, D33, D34, D35, D36, D37, D4, D7, D8, D9}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D21, D22, D3, D31, D32, D33, D34, D35, D36, D37, D4, D7, D8, D9}"
2,EXIT,{},{},"{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D26, D27, D28, D29, D3, D30, D31, D32, D4, D7, D8, D9}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D26, D27, D28, D29, D3, D30, D31, D32, D4, D7, D8, D9}"
3,ENTRY,{},{},{},{}
3,B1,{D1},"{D11, D16, D6}",{},{D1}
3,B2,{D2},"{D12, D15, D5}","{D1, D3, D4, D5, D6}","{D1, D2, D3, D4, D6}"
3,B3,"{D3, D4, D5}","{D12, D15, D2}","{D1, D2, D3, D4, D5, D6}","{D1, D3, D4, D5, D6}"
3,B4,{D6},"{D1, D11, D16}","{D1, D3, D4, D5, D6}","{D3, D4, D5, D6}"
3,B5,"{D7, D8}",{},"{D1, D2, D3, D4, D6}","{D1, D2, D3, D4, D6, D7, D8}"
3,B6,"{D10, D9}",{},"{D1, D2, D3, D4, D6, D7, D8}","{D1, D10, D2, D3, D4, D6, D7, D8, D9}"
3,B7,{D11},"{D1, D16, D6}","{D1, D10, D2, D3, D4, D6, D7, D8, D9}","{D10, D11, D2, D3, D4, D7, D8, D9}"
3,B8,{D12},"{D15, D2, D5}","{D10, D11, D13, D14, D15, D16, D2, D3, D4, D7, D8, D9}","{D10, D11, D12, D13, D14, D16, D3, D4, D7, D8, D9}"
3,B9,"{D13, D14, D15}","{D12, D2, D5}","{D10, D11, D12, D13, D14, D15, D16, D3, D4, D7, D8, D9}","{D10, D11, D13, D14, D15, D16, D3, D4, D7, D8, D9}"
3,B10,{D16},"{D1, D11, D6}","{D10, D11, D13, D14, D15, D16, D3, D4, D7, D8, D9}","{D10, D13, D14, D15, D16, D3, D4, D7, D8, D9}"
3,B11,"{D17, D18}",{},"{D10, D11, D12, D13, D14, D16, D3, D4, D7, D8, D9}","{D10, D11, D12, D13, D14, D16, D17, D18, D3, D4, D7, D8, D9}"
3,B12,{D19},{},"{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D3, D4, D7, D8, D9}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D3, D4, D7, D8, D9}"
3,B13,{D20},"{D25, D30, D37}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D3, D4, D7, D8, D9}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D23, D24, D3, D4, D7, D8, D9}"
3,B14,"{D21, D22}",{},"{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D3, D4, D7, D8, D9}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D3, D4, D7, D8, D9}"
3,B15,"{D23, D24}",{},"{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D3, D4, D7, D8, D9}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D3, D4, D7, D8, D9}"
3,B16,{D25},"{D20, D30, D37}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D3, D4, D7, D8, D9}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D21, D22, D23, D24, D25, D3, D4, D7, D8, D9}"
3,B17,"{D26, D27, D28}","{D33, D34, D35}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D3, D4, D7, D8, D9}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D26, D27, D28, D3, D4, D7, D8, D9}"
3,B18,{D29},{D36},"{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D4, D7, D8, D9}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D37, D4, D7, D8, D9}"
3,B19,{D30},"{D20, D25, D37}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D37, D4, D7, D8, D9}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D21, D22, D23, D24, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D4, D7, D8, D9}"
3,B20,"{D31, D32}",{},"{D10, D11, D12, D13, D14, D16, D17, D18, D19, D21, D22, D23, D24, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D4, D7, D8, D9}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D21, D22, D23, D24, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D4, D7, D8, D9}"
3,B21,"{D33, D34, D35, D36}","{D26, D27, D28, D29}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D21, D22, D23, D24, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D4, D7, D8, D9}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D21, D22, D23, D24, D3, D30, D31, D32, D33, D34, D35, D36, D37, D4, D7, D8, D9}"
3,B22,{D37},"{D20, D25, D30}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D21, D22, D23, D24, D3, D30, D31, D32, D33, D34, D35, D36, D37, D4, D7, D8, D9}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D21, D22, D23, D24, D3, D31, D32, D33, D34, D35, D36, D37, D4, D7, D8, D9}"
3,EXIT,{},{},"{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D37, D4, D7, D8, D9}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D37, D4, D7, D8, D9}"
4,ENTRY,{},{},{},{}
4,B1,{D1},"{D11, D16, D6}",{},{D1}
4,B2,{D2},"{D12, D15, D5}","{D1, D3, D4, D5, D6}","{D1, D2, D3, D4, D6}"
4,B3,"{D3, D4, D5}","{D12, D15, D2}","{D1, D2, D3, D4, D5, D6}","{D1, D3, D4, D5, D6}"
4,B4,{D6},"{D1, D11, D16}","{D1, D3, D4, D5, D6}","{D3, D4, D5, D6}"
4,B5,"{D7, D8}",{},"{D1, D2, D3, D4, D6}","{D1, D2, D3, D4, D6, D7, D8}"
4,B6,"{D10, D9}",{},"{D1, D2, D3, D4, D6, D7, D8}","{D1, D10, D2, D3, D4, D6, D7, D8, D9}"
4,B7,{D11},"{D1, D16, D6}","{D1, D10, D2, D3, D4, D6, D7, D8, D9}","{D10, D11, D2, D3, D4, D7, D8, D9}"
4,B8,{D12},"{D15, D2, D5}","{D10, D11, D13, D14, D15, D16, D2, D3, D4, D7, D8, D9}","{D10, D11, D12, D13, D14, D16, D3, D4, D7, D8, D9}"
4,B9,"{D13, D14, D15}","{D12, D2, D5}","{D10, D11, D12, D13, D14, D15, D16, D3, D4, D7, D8, D9}","{D10, D11, D13, D14, D15, D16, D3, D4, D7, D8, D9}"
4,B10,{D16},"{D1, D11, D6}","{D10, D11, D13, D14, D15, D16, D3, D4, D7, D8, D9}","{D10, D13, D14, D15, D16, D3, D4, D7, D8, D9}"
4,B11,"{D17, D18}",{},"{D10, D11, D12, D13, D14, D16, D3, D4, D7, D8, D9}","{D10, D11, D12, D13, D14, D16, D17, D18, D3, D4, D7, D8, D9}"
4,B12,{D19},{},"{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D3, D4, D7, D8, D9}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D3, D4, D7, D8, D9}"
4,B13,{D20},"{D25, D30, D37}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D3, D4, D7, D8, D9}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D23, D24, D3, D4, D7, D8, D9}"
4,B14,"{D21, D22}",{},"{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D3, D4, D7, D8, D9}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D3, D4, D7, D8, D9}"
4,B15,"{D23, D24}",{},"{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D3, D4, D7, D8, D9}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D3, D4, D7, D8, D9}"
4,B16,{D25},"{D20, D30, D37}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D3, D4, D7, D8, D9}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D21, D22, D23, D24, D25, D3, D4, D7, D8, D9}"
4,B17,"{D26, D27, D28}","{D33, D34, D35}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D3, D4, D7, D8, D9}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D26, D27, D28, D3, D4, D7, D8, D9}"
4,B18,{D29},{D36},"{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D4, D7, D8, D9}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D37, D4, D7, D8, D9}"
4,B19,{D30},"{D20, D25, D37}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D37, D4, D7, D8, D9}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D21, D22, D23, D24, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D4, D7, D8, D9}"
4,B20,"{D31, D32}",{},"{D10, D11, D12, D13, D14, D16, D17, D18, D19, D21, D22, D23, D24, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D4, D7, D8, D9}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D21, D22, D23, D24, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D4, D7, D8, D9}"
4,B21,"{D33, D34, D35, D36}","{D26, D27, D28, D29}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D21, D22, D23, D24, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D4, D7, D8, D9}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D21, D22, D23, D24, D3, D30, D31, D32, D33, D34, D35, D36, D37, D4, D7, D8, D9}"
4,B22,{D37},"{D20, D25, D30}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D21, D22, D23, D24, D3, D30, D31, D32, D33, D34, D35, D36, D37, D4, D7, D8, D9}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D21, D22, D23, D24, D3, D31, D32, D33, D34, D35, D36, D37, D4, D7, D8, D9}"
4,EXIT,{},{},"{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D37, D4, D7, D8, D9}","{D10, D11, D12, D13, D14, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D37, D4, D7, D8, D9}"
