Iteration,Basic-Block,gen[B],kill[B],in[B],out[B]
0,ENTRY,{},{},{},{}
0,B1,{D1},"{D11, D16, D6}",{},{}
0,B2,{D2},"{D12, D15, D5}",{},{}
0,B3,"{D3, D4, D5}","{D12, D15, D2}",{},{}
0,B4,{D6},"{D1, D11, D16}",{},{}
0,B5,"{D7, D8}",{},{},{}
0,B6,"{D10, D9}",{},{},{}
0,B7,{D11},"{D1, D16, D6}",{},{}
0,B8,{D12},"{D15, D2, D5}",{},{}
0,B9,"{D13, D14, D15}","{D12, D2, D5}",{},{}
0,B10,{D16},"{D1, D11, D6}",{},{}
0,B11,"{D17, D18}",{},{},{}
0,B12,{D19},{},{},{}
0,B13,{D20},"{D25, D30, D37}",{},{}
0,B14,"{D21, D22}",{},{},{}
0,B15,"{D23, D24}",{},{},{}
0,B16,{D25},"{D20, D30, D37}",{},{}
0,B17,"{D26, D27, D28}","{D33, D34, D35}",{},{}
0,B18,{D29},{D36},{},{}
0,B19,{D30},"{D20, D25, D37}",{},{}
0,B20,"{D31, D32}",{},{},{}
0,B21,"{D33, D34, D35, D36}","{D26, D27, D28, D29}",{},{}
0,B22,{D37},"{D20, D25, D30}",{},{}
0,EXIT,{},{},{},{}
1,ENTRY,{},{},{},{}
1,B1,{D1},"{D11, D16, D6}",{},{D1}
1,B2,{D2},"{D12, D15, D5}",{D1},"{D1, D2}"
1,B3,"{D3, D4, D5}","{D12, D15, D2}","{D1, D2}","{D1, D3, D4, D5}"
1,B4,{D6},"{D1, D11, D16}","{D1, D3, D4, D5}","{D3, D4, D5, D6}"
1,B5,"{D7, D8}",{},"{D1, D2}","{D1, D2, D7, D8}"
1,B6,"{D10, D9}",{},"{D1, D2, D7, D8}","{D1, D10, D2, D7, D8, D9}"
1,B7,{D11},"{D1, D16, D6}","{D1, D10, D2, D7, D8, D9}","{D10, D11, D2, D7, D8, D9}"
1,B8,{D12},"{D15, D2, D5}","{D10, D11, D2, D7, D8, D9}","{D10, D11, D12, D7, D8, D9}"
1,B9,"{D13, D14, D15}","{D12, D2, D5}","{D10, D11, D12, D7, D8, D9}","{D10, D11, D13, D14, D15, D7, D8, D9}"
1,B10,{D16},"{D1, D11, D6}","{D10, D11, D13, D14, D15, D7, D8, D9}","{D10, D13, D14, D15, D16, D7, D8, D9}"
1,B11,"{D17, D18}",{},"{D10, D11, D12, D7, D8, D9}","{D10, D11, D12, D17, D18, D7, D8, D9}"
1,B12,{D19},{},"{D10, D11, D12, D17, D18, D7, D8, D9}","{D10, D11, D12, D17, D18, D19, D7, D8, D9}"
1,B13,{D20},"{D25, D30, D37}","{D10, D11, D12, D17, D18, D19, D7, D8, D9}","{D10, D11, D12, D17, D18, D19, D20, D7, D8, D9}"
1,B14,"{D21, D22}",{},"{D10, D11, D12, D17, D18, D19, D20, D7, D8, D9}","{D10, D11, D12, D17, D18, D19, D20, D21, D22, D7, D8, D9}"
1,B15,"{D23, D24}",{},"{D10, D11, D12, D17, D18, D19, D20, D21, D22, D7, D8, D9}","{D10, D11, D12, D17, D18, D19, D20, D21, D22, D23, D24, D7, D8, D9}"
1,B16,{D25},"{D20, D30, D37}","{D10, D11, D12, D17, D18, D19, D20, D21, D22, D23, D24, D7, D8, D9}","{D10, D11, D12, D17, D18, D19, D21, D22, D23, D24, D25, D7, D8, D9}"
